
#################################################################
#@  
#@  
#@  
####################################   2025-11-30[Nov-Sun]15-52PM 



opencloud-1  | 2025-11-30T19:44:05Z INF skipping auth check for: / host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/interceptors/auth/auth.go:195 pkg=rhttp service=ocm traceid=b3d39e2390f6dc0f624f2948367dbe14
opencloud-1  | 2025-11-30T19:44:05Z WRN core access token not set host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/interceptors/auth/auth.go:248 pkg=rhttp service=ocm traceid=b3d39e2390f6dc0f624f2948367dbe14
opencloud-1  | 2025-11-30T19:44:05Z DBG .well-known routing host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/services/wellknown/wellknown.go:86 path=/ pkg=rhttp request-id=95bff279320b/M3dZwxQzf2-000005 service=ocm traceid=f2cce29e15e1af040a1df0db73715ab0
opencloud-1  | 2025-11-30T19:44:05Z INF skipping provider authorizer check for: / host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/interceptors/providerauthorizer/providerauthorizer.go:83 pkg=rhttp service=ocm traceid=b3d39e2390f6dc0f624f2948367dbe14
opencloud-1  | 2025-11-30T19:44:05Z DBG http routing: head= tail=/ svc= host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:248 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z DBG .well-known routing host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/services/wellknown/wellknown.go:86 path=/ pkg=rhttp request-id=95bff279320b/M3dZwxQzf2-000006 service=ocm traceid=b3d39e2390f6dc0f624f2948367dbe14
opencloud-1  | 2025-11-30T19:44:05Z WRN http end="30/Nov/2025:19:44:05 +0000" host=127.0.0.1 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/interceptors/log/log.go:112 method=GET pkg=rhttp proto=HTTP/1.1 service=ocm size=19 start="30/Nov/2025:19:44:05 +0000" status=404 time_ns=363378 traceid=f2cce29e15e1af040a1df0db73715ab0 uri=/ url=/
opencloud-1  | 2025-11-30T19:44:05Z WRN http end="30/Nov/2025:19:44:05 +0000" host=127.0.0.1 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/interceptors/log/log.go:112 method=GET pkg=rhttp proto=HTTP/1.1 service=ocm size=19 start="30/Nov/2025:19:44:05 +0000" status=404 time_ns=343721 traceid=b3d39e2390f6dc0f624f2948367dbe14 uri=/ url=/
opencloud-1  | 2025-11-30T19:44:05Z INF running on 8 cpus host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/cmd/revad/runtime/runtime.go:179 service=auth-app
opencloud-1  | 2025-11-30T19:44:05Z INF no probe provided, reverting to default (OK) endpoint=/healthz line=github.com/opencloud-eu/opencloud/pkg/service/debug/service.go:27 service=auth-app
opencloud-1  | 2025-11-30T19:44:05Z INF no probe provided, reverting to default (OK) endpoint=/readyz line=github.com/opencloud-eu/opencloud/pkg/service/debug/service.go:27 service=auth-app
opencloud-1  | 2025-11-30T19:44:05Z INF registering external service eu.opencloud.api.auth-app-35f40791-083d-4ce2-8810-d5dbff55dbc1@127.0.0.1:9246 line=github.com/opencloud-eu/opencloud/pkg/registry/register.go:19 service=auth-app
opencloud-1  | 2025-11-30T19:44:05Z DBG setup cors middleware allow_credentials=true allowed_headers="Authorization, Origin, Content-Type, Accept, X-Requested-With, X-Request-Id, Ocs-Apirequest" allowed_methods="GET, POST, DELETE" allowed_origins=* line=github.com/opencloud-eu/opencloud/pkg/middleware/header.go:33 service=auth-app
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: grpc service enabled: authprovider host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=auth-app
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: grpc service enabled: applicationauth host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=auth-app
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: chaining grpc unary interceptor prometheus with priority 100 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:343 pkg=rgrpc service=auth-app
opencloud-1  | 2025-11-30T19:44:05Z INF running on 8 cpus host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/cmd/revad/runtime/runtime.go:179 service=auth-machine
opencloud-1  | 2025-11-30T19:44:05Z INF grpc server listening at tcp:127.0.0.1:9246 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:192 pkg=rgrpc service=auth-app
opencloud-1  | 2025-11-30T19:44:05Z INF no probe provided, reverting to default (OK) endpoint=/healthz line=github.com/opencloud-eu/opencloud/pkg/service/debug/service.go:27 service=auth-machine
opencloud-1  | 2025-11-30T19:44:05Z INF no probe provided, reverting to default (OK) endpoint=/readyz line=github.com/opencloud-eu/opencloud/pkg/service/debug/service.go:27 service=auth-machine
opencloud-1  | 2025-11-30T19:44:05Z INF registering external service eu.opencloud.api.auth-machine-35f40791-083d-4ce2-8810-d5dbff55dbc1@127.0.0.1:9166 line=github.com/opencloud-eu/opencloud/pkg/registry/register.go:19 service=auth-machine
opencloud-1  | 2025-11-30T19:44:05Z DBG 127.0.0.1:44996 - cid:44 - Client connection created line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: grpc service enabled: authprovider host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=auth-machine
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: chaining grpc unary interceptor prometheus with priority 100 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:343 pkg=rgrpc service=auth-machine
opencloud-1  | 2025-11-30T19:44:05Z INF grpc server listening at tcp:127.0.0.1:9166 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:192 pkg=rgrpc service=auth-machine
opencloud-1  | The password of service user admin has not been set properly in your config for idm. Make sure your /etc/opencloud config contains the proper values (e.g. by using 'opencloud init --diff' and applying the patch or setting a value manually in the config/corresponding environment variable).
opencloud-1 exited with code 1
opencloud-1  | 2025/11/30 19:44:06 Could not create config: config file already exists, use --force-overwrite to overwrite or --diff to show diff
opencloud-1  | 2025-11-30T19:44:07Z INF Starting nats-server line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Version:  2.12.1 line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Git:      [a487621] line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG   Go build: go1.25.4 line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Cluster:  opencloud-cluster line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Name:     ND6H75U5OYQJDLDSA23KLWMTPLD37W7MTYXDAMRH53DPSKPK5L22XP37 line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Node:     0QfkhvYx line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
